	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
TCGA-CQ-7064	0.136284261419122	0.15493803241011	0.129919990296301	0	0	0	0.118139755759622	0	0	0	0	0	0.369306011774036	0	0	0	0	0.0674693190416425	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-P3-A6T5	0.120903037204177	0.227928300022881	0.161682361233778	0	0	0	0.0769477294521415	0	0	0	0	0	0.184210390877474	0	0	0.082782564032522	0	0	0	0	0	0	0	0	0	0.0633449517284734	0	0	0	0
TCGA-BA-5151	0.226227508202145	0.134002930112086	0.233721632054441	0	0	0	0	0	0	0	0	0.141478292851646	0	0	0.089844328214146	0	0	0.120179906326522	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IQ-A61E	0.118548274810871	0.28183169035753	0	0	0	0	0	0	0	0	0.0842845696458728	0	0.428766670705021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-6952	0	0.112935078470232	0	0	0	0	0	0	0	0	0	0	0.129636609092246	0	0	0.757428312437522	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D6-A74Q	0	0.132235787875036	0	0.182861662911053	0	0	0	0.152264958717018	0	0	0	0	0.157691473644729	0	0	0	0	0	0.0887594928114648	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-7254	0	0	0.121454712636858	0.153592345781807	0	0	0	0.232671120444415	0	0	0	0.0969477672572711	0	0	0	0.141990178944999	0	0.0775671126743733	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-5970	0.311095133131696	0.315318465814424	0	0	0	0	0	0	0	0	0	0	0.239984768275075	0	0	0	0.0894433695446248	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-7434	0.198251271426439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.503906339869536	0	0	0	0	0	0	0	0.144182415271359	0	0	0	0	0	0
TCGA-CV-7568	0	0	0	0	0	0	0.655105649240306	0	0	0	0.24539107683077	0	0	0	0	0.0750293079655978	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-QK-AA3J	0	0.187229689889208	0	0	0	0	0	0	0	0	0.0839240997692259	0	0.109548240390505	0	0	0.593291001519844	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CR-7372	0.201905348979064	0	0	0	0	0	0	0.173901033261475	0	0.113761272741464	0	0	0	0	0	0	0	0.275402250693562	0	0	0.105201708080358	0	0	0	0	0	0	0	0	0
TCGA-F7-8489	0.0843785118353848	0.1890669708295	0	0	0	0	0	0	0	0	0	0	0.110613790053736	0	0	0.540565456324361	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CN-6019	0.0694313819036937	0.0980233139667657	0	0	0.320623171489303	0	0	0.141220185857424	0	0	0	0	0	0	0	0.200648913956931	0	0.131458386468976	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CN-4742	0.181495998170679	0	0	0	0	0	0	0.174492467804267	0	0	0	0	0	0	0	0.524892735559859	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CN-6997	0	0.106443044780525	0	0	0	0	0	0	0	0	0	0	0.102218824531782	0	0	0.779277538315752	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-5976	0.131871859524267	0.204467031998615	0	0	0	0	0	0	0	0	0	0	0	0	0	0.544517412207056	0	0	0	0	0	0	0	0	0	0	0	0	0	0
